,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
4,6,confess,16,X happened,F,Josh is a 75-year old man,factL,Did Sharon confess that X happened?,16,F,Donna,Diane,C,0.28,3889,6
5,7,reveal,10,X happened,M,Zoe is a math major,factH,Did Tim reveal that X happened?,10,M,Robert,Scott,NonProj,0.62,6318,6
6,8,say,12,X happened,M,Frank is allergic to cats,factL,Did Melissa say that X happened?,12,F,Kenneth,Nicole,C,0.36,103872,6
7,9,admit,3,X happened,F,Emma is in law school,factH,Did Justin admit that X happened?,3,M,Margaret,Gary,C,0.77,4658,6
8,10,hear,17,X happened,F,Owen lives in New Orleans,factL,Did Cynthia hear that X happened?,17,F,Lisa,Cynthia,C,0.63,5212,6
9,11,discover,4,X happened,M,Olivia works the third shift,factH,Did Jerry discover that X happened?,4,M,Paul,Timothy,NonProj,0.35,3298,6
10,12,control,control6,X happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that X happened?",control6,NA,Michelle,NA,control,1.0,5791,6
11,13,be_right_that,2,X happened,F,Josie loves France,factH,Is Scott right that X happened?,2,M,Jessica,Larry,C,0.11,2955,6
12,14,control,control5,X happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Elizabeth,NA,control,0.93,3372,6
13,15,establish,8,X happened,F,Emily never has any money,factL,Did Brian establish that X happened?,8,M,Kimberly,Ronald,NonProj,0.31,5044,6
14,16,control,control3,X happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,Donna,NA,control,0.92,3398,6
15,17,prove,15,X happened,F,Tony has been sober for 20 years,factL,Did Rebecca prove that X happened?,15,F,Elizabeth,Heather,C,0.26,7800,6
16,18,suggest,1,X happened,F,Mary is a middle school student,factL,Did Patrick suggest that X happened?,1,M,Sarah,Raymond,C,0.11,1991,6
17,19,control,control2,X happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after X happened?,control2,NA,Carol,NA,control,0.9,3606,6
18,20,pretend,14,X happened,M,Jayden's car is in the shop,factH,Did Stephanie pretend that X happened?,14,F,Steven,Virginia,NonProj,0.22,5137,6
19,21,know,9,X happened,F,Grace hates her sister,factL,Does Andrew know that X happened?,9,M,Michelle,Jeffrey,NonProj,0.34,2581,6
20,22,control,control4,X happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,Kimberly,NA,control,0.92,3707,6
21,23,annoyed,19,X happened,M,Jon lives 10 miles away from work,factL,Is Ruth annoyed that X happened?,19,F,Thomas,Kathleen,NonProj,0.67,2623,6
22,24,acknowledge,6,X happened,F,Mia is a college student,factH,Did Ray acknowledge that X happened?,6,M,Nancy,Nicholas,C,0.34,4173,6
23,25,think,13,X happened,M,Jackson is obese,factL,Does Laura think that X happened?,13,F,William,Stephanie,NonProj,0.18,2440,6
24,26,see,20,X happened,M,Charley lives in Mexico,factH,Did Anna see that X happened?,20,F,Mark,Laura,NonProj,0.32,2783,6
25,27,inform_Sam,7,X happened,F,Isabella is a vegetarian,factL,Did Kevin inform Sam that X happened?,7,M,Carol,Brian,C,0.65,2546,6
0,2,hear,6,X happened,M,Mia is a nun,factL,Did Ray hear that X happened?,6,M,James,Timothy,C,0.87,27474,7
1,3,acknowledge,8,X happened,M,Emily never has any money,factL,Did Brian acknowledge that X happened?,8,M,William,Gregory,C,0.95,19627,7
2,4,control,control5,X happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that X happened?",control5,NA,Jessica,NA,control,0.94,23165,7
3,5,control,control4,X happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that X happened?",control4,NA,Thomas,NA,control,0.97,19718,7
4,6,prove,2,X happened,M,Josie loves France,factH,Did Scott prove that X happened?,2,M,Matthew,Andrew,C,0.2,11869,7
5,7,think,9,X happened,F,Grace loves her sister,factH,Does Andrew think that X happened?,9,M,Margaret,Justin,NonProj,0.15,7972,7
6,8,establish,3,X happened,M,Emma is in first grade,factL,Did Justin establish that X happened?,3,M,Thomas,Ryan,NonProj,0.33,12372,7
7,9,announce,5,X happened,M,Sophia is a hipster,factH,Did Ben announce that X happened?,5,M,Christopher,Edward,C,0.58,17694,7
8,10,annoyed,20,X happened,F,Charley lives in Korea,factL,Is Anna annoyed that X happened?,20,F,Betty,Diane,NonProj,0.89,11312,7
9,11,see,15,X happened,M,Tony has been sober for 20 years,factL,Did Rebecca see that X happened?,15,F,Kenneth,Joyce,NonProj,0.77,10018,7
10,12,confirm,13,X happened,F,Jackson is training for a marathon,factH,Did Laura confirm that X happened?,13,F,Carol,Amy,C,0.24,6727,7
11,13,be_right_that,4,X happened,F,Olivia has two small children,factL,Is Jerry right that X happened?,4,M,Jennifer,Gary,C,0.22,5733,7
12,14,control,control3,X happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that X happened?",control3,NA,James,NA,control,0.98,11701,7
