,slide_number_in_experiment,verb,contentNr,content,speakerGender,fact,fact_type,utterance,question,subjectGender,speakerName,subjectName,trigger_class,response,rt,participant
8,10,acknowledge,15,that thing happened,F,Tony has been sober for 20 years,factL,Did Rebecca acknowledge that a particular thing happened?,15,F,Michelle,Amy,C,0.88,5208,25
9,11,control,control5,that thing happened,M,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,David,NA,control,0.94,15321,25
10,12,hear,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia hear that a particular thing happened?,17,F,Kimberly,Christina,C,0.86,10299,25
11,13,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Nancy,NA,control,0.93,6660,25
12,14,prove,8,that thing happened,M,Emily never has any money,factL,Did Brian prove that a particular thing happened?,8,M,William,Patrick,C,0.2,8739,25
13,15,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Carol,NA,control,0.98,11736,25
14,16,discover,14,that thing happened,F,Jayden doesn't have a driver's license,factL,Did Stephanie discover that a particular thing happened?,14,F,Susan,Kathleen,NonProj,0.91,7380,25
15,17,suggest,5,that thing happened,F,Sophia is a hipster,factH,Did Ben suggest that a particular thing happened?,5,M,Betty,Larry,C,0.12,6307,25
16,18,annoyed,13,that thing happened,M,Jackson is obese,factL,Is Laura annoyed that a particular thing happened?,13,F,James,Ruth,NonProj,0.94,3989,25
17,19,control,control2,that thing happened,M,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,William,NA,control,0.92,14213,25
18,20,establish,12,that thing happened,M,Frank is allergic to cats,factL,Did Melissa establish that a particular thing happened?,12,F,George,Nicole,NonProj,0.0,5660,25
19,21,confirm,4,that thing happened,M,Olivia works the third shift,factH,Did Jerry confirm that a particular thing happened?,4,M,Matthew,Ronald,C,0.0,5892,25
20,22,reveal,7,that thing happened,M,Isabella is a vegetarian,factL,Did Kevin reveal that a particular thing happened?,7,M,Mark,Gary,NonProj,0.0,4478,25
21,23,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,James,NA,control,0.93,6599,25
22,24,admit,3,that thing happened,M,Emma is in law school,factH,Did Justin admit that a particular thing happened?,3,M,Richard,Alexander,C,0.36,6866,25
23,25,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Susan,NA,control,1.0,7431,25
24,26,demonstrate,18,that thing happened,F,Julian is German,factL,Did Kathleen demonstrate that a particular thing happened?,18,F,Nancy,Shirley,C,0.24,5574,25
25,27,be_right_that,16,that thing happened,M,Josh is a 75-year old man,factL,Is Sharon right that a particular thing happened?,16,F,David,Catherine,C,0.0,5709,25
0,2,suggest,3,that thing happened,F,Emma is in first grade,factL,Did Justin suggest that a particular thing happened?,3,M,Michelle,Jerry,C,0.14,27920,26
1,3,confess,15,that thing happened,M,Tony has been sober for 20 years,factL,Did Rebecca confess that a particular thing happened?,15,F,George,Virginia,C,0.86,14269,26
2,4,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Margaret,NA,control,0.93,10234,26
3,5,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Betty,NA,control,1.0,8383,26
4,6,demonstrate,7,that thing happened,F,Isabella is a vegetarian,factL,Did Kevin demonstrate that a particular thing happened?,7,M,Helen,Ronald,C,0.49,11501,26
5,7,establish,4,that thing happened,F,Olivia has two small children,factL,Did Jerry establish that a particular thing happened?,4,M,Linda,Jeffrey,NonProj,0.61,11751,26
6,8,see,14,that thing happened,M,Jayden doesn't have a driver's license,factL,Did Stephanie see that a particular thing happened?,14,F,Paul,Anna,NonProj,0.91,7037,26
7,9,annoyed,18,that thing happened,F,Julian is German,factL,Is Kathleen annoyed that a particular thing happened?,18,F,Betty,Cynthia,NonProj,1.0,6364,26
8,10,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,George,NA,control,1.0,9951,26
9,11,announce,19,that thing happened,F,Jon lives 2 blocks away from work,factH,Did Ruth announce that a particular thing happened?,19,F,Karen,Joyce,C,0.5,12867,26
10,12,hear,13,that thing happened,F,Jackson is obese,factL,Did Laura hear that a particular thing happened?,13,F,Elizabeth,Janet,C,0.83,13185,26
11,13,know,12,that thing happened,M,Frank has always wanted a pet,factH,Does Melissa know that a particular thing happened?,12,F,Robert,Nicole,NonProj,0.94,7950,26
12,14,be_right_that,5,that thing happened,M,Sophia is a hipster,factH,Is Ben right that a particular thing happened?,5,M,Richard,Gregory,C,0.5,11451,26
13,15,inform_Sam,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia inform Sam that a particular thing happened?,17,F,Sandra,Shirley,C,0.89,15635,26
14,16,discover,2,that thing happened,M,Josie loves France,factH,Did Scott discover that a particular thing happened?,2,M,Steven,Eric,NonProj,0.71,9151,26
15,17,prove,20,that thing happened,F,Charley lives in Korea,factL,Did Anna prove that a particular thing happened?,20,F,Lisa,Stephanie,C,0.36,8650,26
16,18,pretend,6,that thing happened,F,Mia is a nun,factL,Did Ray pretend that a particular thing happened?,6,M,Jessica,Tyler,NonProj,0.22,14967,26
17,19,reveal,8,that thing happened,F,Emily has been saving for a year,factH,Did Brian reveal that a particular thing happened?,8,M,Nancy,Justin,NonProj,0.69,6334,26
18,20,acknowledge,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda acknowledge that a particular thing happened?,11,F,Margaret,Melissa,C,0.31,23569,26
19,21,confirm,1,that thing happened,M,Mary is taking a prenatal yoga class,factH,Did Patrick confirm that a particular thing happened?,1,M,Thomas,Brian,C,0.3,10600,26
20,22,admit,9,that thing happened,F,Grace loves her sister,factH,Did Andrew admit that a particular thing happened?,9,M,Donna,Gary,C,0.74,6917,26
21,23,say,16,that thing happened,M,Josh is a 5-year old boy,factH,Did Sharon say that a particular thing happened?,16,F,William,Rachel,C,0.22,9318,26
22,24,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Michelle,NA,control,0.87,13601,26
23,25,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Jessica,NA,control,0.97,8467,26
24,26,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Helen,NA,control,0.97,7851,26
25,27,think,10,that thing happened,F,Zoe is a math major,factH,Does Tim think that a particular thing happened?,10,M,Jennifer,Kevin,NonProj,0.24,16384,26
0,2,know,7,that thing happened,F,Isabella is a vegetarian,factL,Does Kevin know that a particular thing happened?,7,M,Elizabeth,Andrew,NonProj,0.34,15872,27
1,3,annoyed,13,that thing happened,M,Jackson is training for a marathon,factH,Is Laura annoyed that a particular thing happened?,13,F,Kenneth,Cynthia,NonProj,1.0,15860,27
2,4,suggest,19,that thing happened,F,Jon lives 2 blocks away from work,factH,Did Ruth suggest that a particular thing happened?,19,F,Ashley,Shirley,C,0.6,5533,27
3,5,prove,3,that thing happened,F,Emma is in law school,factH,Did Justin prove that a particular thing happened?,3,M,Jennifer,Gregory,C,0.28,5211,27
4,6,inform_Sam,20,that thing happened,M,Charley lives in Mexico,factH,Did Anna inform Sam that a particular thing happened?,20,F,William,Melissa,C,0.86,3596,27
5,7,reveal,2,that thing happened,F,Josie doesn't have a passport,factL,Did Scott reveal that a particular thing happened?,2,M,Sarah,Brian,NonProj,0.83,4843,27
6,8,acknowledge,5,that thing happened,F,Sophia is a hipster,factH,Did Ben acknowledge that a particular thing happened?,5,M,Nancy,Raymond,C,0.84,3832,27
7,9,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Sarah,NA,control,1.0,5167,27
8,10,see,8,that thing happened,M,Emily never has any money,factL,Did Brian see that a particular thing happened?,8,M,Robert,Kevin,NonProj,0.8,5221,27
9,11,discover,1,that thing happened,F,Mary is a middle school student,factL,Did Patrick discover that a particular thing happened?,1,M,Carol,Jeffrey,NonProj,0.81,3963,27
10,12,hear,15,that thing happened,F,Tony has been sober for 20 years,factL,Did Rebecca hear that a particular thing happened?,15,F,Susan,Rebecca,C,0.76,22578,27
11,13,demonstrate,10,that thing happened,F,Zoe is a math major,factH,Did Tim demonstrate that a particular thing happened?,10,M,Sandra,Jacob,C,0.58,12438,27
12,14,establish,17,that thing happened,M,Owen lives in New Orleans,factL,Did Cynthia establish that a particular thing happened?,17,F,Steven,Janet,NonProj,0.65,3200,27
13,15,control,control3,that thing happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Carol,NA,control,0.98,5800,27
14,16,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Betty,NA,control,0.99,6728,27
15,17,confess,11,that thing happened,M,Danny is a diabetic,factL,Did Amanda confess that a particular thing happened?,11,F,James,Stephanie,C,0.75,3712,27
16,18,say,14,that thing happened,M,Jayden's car is in the shop,factH,Did Stephanie say that a particular thing happened?,14,F,Christopher,Catherine,C,0.65,5983,27
17,19,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Robert,NA,control,0.96,4632,27
18,20,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Susan,NA,control,1.0,5094,27
19,21,think,4,that thing happened,F,Olivia has two small children,factL,Does Jerry think that a particular thing happened?,4,M,Kimberly,Benjamin,NonProj,0.37,3413,27
20,22,be_right_that,18,that thing happened,M,Julian is Cuban,factH,Is Kathleen right that a particular thing happened?,18,F,David,Diane,C,0.24,3676,27
21,23,confirm,12,that thing happened,F,Frank is allergic to cats,factL,Did Melissa confirm that a particular thing happened?,12,F,Donna,Kathleen,C,0.39,3398,27
22,24,pretend,6,that thing happened,F,Mia is a college student,factH,Did Ray pretend that a particular thing happened?,6,M,Jessica,Scott,NonProj,0.16,5386,27
23,25,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Kimberly,NA,control,0.35,8277,27
24,26,admit,16,that thing happened,F,Josh is a 5-year old boy,factH,Did Sharon admit that a particular thing happened?,16,F,Dorothy,Virginia,C,0.37,4364,27
25,27,announce,9,that thing happened,F,Grace hates her sister,factL,Did Andrew announce that a particular thing happened?,9,M,Betty,Eric,C,0.4,3871,27
0,2,know,20,that thing happened,F,Charley lives in Korea,factL,Does Anna know that a particular thing happened?,20,F,Helen,Sharon,NonProj,0.93,538471,28
1,3,say,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia say that a particular thing happened?,17,F,Michelle,Shirley,C,0.09,15068,28
2,4,admit,1,that thing happened,M,Mary is taking a prenatal yoga class,factH,Did Patrick admit that a particular thing happened?,1,M,James,Nicholas,C,0.96,12296,28
3,5,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Sarah,NA,control,0.94,12023,28
4,6,acknowledge,18,that thing happened,M,Julian is German,factL,Did Kathleen acknowledge that a particular thing happened?,18,F,Matthew,Christina,C,0.99,6338,28
5,7,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Linda,NA,control,0.98,4813,28
6,8,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Matthew,NA,control,0.96,5894,28
7,9,demonstrate,7,that thing happened,F,Isabella is a vegetarian,factL,Did Kevin demonstrate that a particular thing happened?,7,M,Linda,Andrew,C,0.87,15822,28
8,10,announce,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda announce that a particular thing happened?,11,F,Susan,Rebecca,C,0.15,7531,28
9,11,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,David,NA,control,0.71,7120,28
10,12,think,9,that thing happened,F,Grace loves her sister,factH,Does Andrew think that a particular thing happened?,9,M,Kimberly,Alexander,NonProj,0.96,8656,28
11,13,suggest,10,that thing happened,M,Zoe is a math major,factH,Did Tim suggest that a particular thing happened?,10,M,Mark,Scott,C,0.03,5216,28
12,14,prove,15,that thing happened,F,Tony has been sober for 20 years,factL,Did Rebecca prove that a particular thing happened?,15,F,Sarah,Melissa,C,0.58,6206,28
13,15,establish,2,that thing happened,M,Josie doesn't have a passport,factL,Did Scott establish that a particular thing happened?,2,M,David,Jeffrey,NonProj,0.11,4586,28
14,16,discover,8,that thing happened,M,Emily has been saving for a year,factH,Did Brian discover that a particular thing happened?,8,M,Robert,Eric,NonProj,0.83,4432,28
15,17,pretend,16,that thing happened,F,Josh is a 5-year old boy,factH,Did Sharon pretend that a particular thing happened?,16,F,Betty,Virginia,NonProj,0.89,5148,28
16,18,see,19,that thing happened,M,Jon lives 2 blocks away from work,factH,Did Ruth see that a particular thing happened?,19,F,Steven,Cynthia,NonProj,0.9,3830,28
17,19,reveal,4,that thing happened,F,Olivia works the third shift,factH,Did Jerry reveal that a particular thing happened?,4,M,Dorothy,Raymond,NonProj,0.15,8582,28
18,20,confirm,13,that thing happened,M,Jackson is training for a marathon,factH,Did Laura confirm that a particular thing happened?,13,F,Kenneth,Joyce,C,0.34,4006,28
19,21,confess,14,that thing happened,M,Jayden doesn't have a driver's license,factL,Did Stephanie confess that a particular thing happened?,14,F,Richard,Nicole,C,0.68,12387,28
20,22,inform_Sam,3,that thing happened,F,Emma is in first grade,factL,Did Justin inform Sam that a particular thing happened?,3,M,Donna,Jacob,C,0.92,6395,28
21,23,control,control4,that thing happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Richard,NA,control,0.92,7070,28
22,24,be_right_that,5,that thing happened,F,Sophia is a hipster,factH,Is Ben right that a particular thing happened?,5,M,Carol,Justin,C,0.07,5534,28
23,25,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Helen,NA,control,0.89,9939,28
24,26,hear,12,that thing happened,M,Frank is allergic to cats,factL,Did Melissa hear that a particular thing happened?,12,F,George,Rachel,C,0.84,6488,28
25,27,annoyed,6,that thing happened,F,Mia is a nun,factL,Is Ray annoyed that a particular thing happened?,6,M,Jennifer,Jerry,NonProj,0.97,3664,28
0,2,suggest,8,that thing happened,F,Emily never has any money,factL,Did Brian suggest that a particular thing happened?,8,M,Michelle,Gregory,C,0.3,24716,29
1,3,establish,1,that thing happened,F,Mary is taking a prenatal yoga class,factH,Did Patrick establish that a particular thing happened?,1,M,Susan,Ronald,NonProj,0.52,11029,29
2,4,inform_Sam,11,that thing happened,F,Danny is a diabetic,factL,Did Amanda inform Sam that a particular thing happened?,11,F,Helen,Julie,C,0.91,7542,29
3,5,announce,14,that thing happened,F,Jayden doesn't have a driver's license,factL,Did Stephanie announce that a particular thing happened?,14,F,Donna,Amanda,C,0.84,7449,29
4,6,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Nancy,NA,control,0.99,10384,29
5,7,see,5,that thing happened,M,Sophia is a hipster,factH,Did Ben see that a particular thing happened?,5,M,George,Scott,NonProj,0.87,11597,29
6,8,prove,3,that thing happened,F,Emma is in law school,factH,Did Justin prove that a particular thing happened?,3,M,Betty,Brian,C,0.23,12623,29
7,9,hear,17,that thing happened,M,Owen lives in Chicago,factH,Did Cynthia hear that a particular thing happened?,17,F,Christopher,Kathleen,C,0.78,11682,29
8,10,say,18,that thing happened,M,Julian is Cuban,factH,Did Kathleen say that a particular thing happened?,18,F,Robert,Christina,C,0.09,8681,29
9,11,know,4,that thing happened,F,Olivia has two small children,factL,Does Jerry know that a particular thing happened?,4,M,Nancy,Larry,NonProj,0.97,100504,29
10,12,admit,12,that thing happened,F,Frank is allergic to cats,factL,Did Melissa admit that a particular thing happened?,12,F,Karen,Nicole,C,0.93,5765,29
11,13,control,control4,that thing happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,David,NA,control,0.99,18768,29
12,14,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Dorothy,NA,control,0.96,8387,29
13,15,control,control3,that thing happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Karen,NA,control,0.86,9181,29
14,16,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Sarah,NA,control,0.83,13163,29
15,17,confirm,15,that thing happened,M,Tony really likes to party with his friends,factH,Did Rebecca confirm that a particular thing happened?,15,F,Richard,Melissa,C,0.2,8146,29
16,18,demonstrate,10,that thing happened,M,Zoe is a math major,factH,Did Tim demonstrate that a particular thing happened?,10,M,Matthew,Raymond,C,0.39,13217,29
17,19,reveal,20,that thing happened,M,Charley lives in Mexico,factH,Did Anna reveal that a particular thing happened?,20,F,James,Sharon,NonProj,0.11,7941,29
18,20,pretend,7,that thing happened,F,Isabella is from Argentina,factH,Did Kevin pretend that a particular thing happened?,7,M,Linda,Edward,NonProj,0.03,26215,29
19,21,be_right_that,9,that thing happened,F,Grace hates her sister,factL,Is Andrew right that a particular thing happened?,9,M,Sarah,Eric,C,0.48,14313,29
20,22,acknowledge,16,that thing happened,F,Josh is a 75-year old man,factL,Did Sharon acknowledge that a particular thing happened?,16,F,Dorothy,Anna,C,0.06,89763,29
21,23,control,control1,that thing happened,F,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Michelle,NA,control,0.98,15064,29
22,24,think,13,that thing happened,M,Jackson is obese,factL,Does Laura think that a particular thing happened?,13,F,David,Diane,NonProj,0.12,9633,29
23,25,confess,19,that thing happened,F,Jon lives 10 miles away from work,factL,Did Ruth confess that a particular thing happened?,19,F,Kimberly,Virginia,C,0.37,15978,29
24,26,discover,2,that thing happened,F,Josie doesn't have a passport,factL,Did Scott discover that a particular thing happened?,2,M,Carol,Kevin,NonProj,0.83,8349,29
25,27,annoyed,6,that thing happened,F,Mia is a college student,factH,Is Ray annoyed that a particular thing happened?,6,M,Sandra,Timothy,NonProj,0.96,7651,29
0,2,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Dorothy,NA,control,0.12,27547,30
1,3,be_right_that,16,that thing happened,M,Josh is a 5-year old boy,factH,Is Sharon right that a particular thing happened?,16,F,David,Brenda,C,0.25,10943,30
2,4,reveal,1,that thing happened,F,Mary is a middle school student,factL,Did Patrick reveal that a particular thing happened?,1,M,Carol,Eric,NonProj,0.72,5946,30
3,5,control,control3,that thing happened,M,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Kenneth,NA,control,0.09,8210,30
4,6,acknowledge,14,that thing happened,M,Jayden doesn't have a driver's license,factL,Did Stephanie acknowledge that a particular thing happened?,14,F,George,Joyce,C,0.99,7766,30
5,7,think,7,that thing happened,M,Isabella is from Argentina,factH,Does Kevin think that a particular thing happened?,7,M,Steven,Ryan,NonProj,0.2,6906,30
6,8,demonstrate,15,that thing happened,F,Tony really likes to party with his friends,factH,Did Rebecca demonstrate that a particular thing happened?,15,F,Sarah,Angela,C,0.9,9804,30
7,9,control,control4,that thing happened,M,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Robert,NA,control,0.03,10275,30
8,10,control,control1,that thing happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,George,NA,control,1.0,11874,30
9,11,admit,12,that thing happened,M,Frank is allergic to cats,factL,Did Melissa admit that a particular thing happened?,12,F,Robert,Laura,C,0.92,9024,30
10,12,say,5,that thing happened,F,Sophia is a high end fashion model,factL,Did Ben say that a particular thing happened?,5,M,Susan,Edward,C,0.07,6819,30
11,13,establish,10,that thing happened,M,Zoe is a math major,factH,Did Tim establish that a particular thing happened?,10,M,Richard,Timothy,NonProj,0.69,7999,30
12,14,pretend,18,that thing happened,F,Julian is German,factL,Did Kathleen pretend that a particular thing happened?,18,F,Michelle,Carolyn,NonProj,0.1,12078,30
13,15,prove,2,that thing happened,F,Josie loves France,factH,Did Scott prove that a particular thing happened?,2,M,Elizabeth,Gregory,C,0.11,10930,30
14,16,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Carol,NA,control,1.0,18013,30
15,17,announce,4,that thing happened,F,Olivia works the third shift,factH,Did Jerry announce that a particular thing happened?,4,M,Nancy,Larry,C,0.13,6291,30
16,18,confess,8,that thing happened,F,Emily never has any money,factL,Did Brian confess that a particular thing happened?,8,M,Lisa,Ronald,C,0.96,8193,30
17,19,hear,3,that thing happened,F,Emma is in law school,factH,Did Justin hear that a particular thing happened?,3,M,Jessica,Scott,C,0.95,6868,30
18,20,annoyed,20,that thing happened,M,Charley lives in Mexico,factH,Is Anna annoyed that a particular thing happened?,20,F,Mark,Anna,NonProj,1.0,7694,30
19,21,see,19,that thing happened,M,Jon lives 2 blocks away from work,factH,Did Ruth see that a particular thing happened?,19,F,Christopher,Rachel,NonProj,0.72,8578,30
20,22,discover,17,that thing happened,F,Owen lives in New Orleans,factL,Did Cynthia discover that a particular thing happened?,17,F,Margaret,Rebecca,NonProj,0.28,9868,30
21,23,suggest,11,that thing happened,M,Danny is a diabetic,factL,Did Amanda suggest that a particular thing happened?,11,F,Kenneth,Janet,C,0.01,5842,30
22,24,know,9,that thing happened,F,Grace hates her sister,factL,Does Andrew know that a particular thing happened?,9,M,Dorothy,Patrick,NonProj,0.93,6640,30
23,25,inform_Sam,6,that thing happened,F,Mia is a nun,factL,Did Ray inform Sam that a particular thing happened?,6,M,Sandra,Tyler,C,0.97,35681,30
24,26,confirm,13,that thing happened,F,Jackson is training for a marathon,factH,Did Laura confirm that a particular thing happened?,13,F,Kimberly,Amanda,C,0.03,7421,30
25,27,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Michelle,NA,control,1.0,8701,30
0,2,inform_Sam,18,that thing happened,M,Julian is Cuban,factH,Did Kathleen inform Sam that a particular thing happened?,18,F,Kenneth,Amy,C,0.95,17044,31
1,3,see,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia see that a particular thing happened?,17,F,Betty,Stephanie,NonProj,0.96,10108,31
2,4,pretend,4,that thing happened,F,Olivia works the third shift,factH,Did Jerry pretend that a particular thing happened?,4,M,Lisa,Scott,NonProj,0.09,7880,31
3,5,prove,6,that thing happened,M,Mia is a college student,factH,Did Ray prove that a particular thing happened?,6,M,Thomas,Gregory,C,0.88,6756,31
4,6,confirm,10,that thing happened,F,Zoe is 5 years old,factL,Did Tim confirm that a particular thing happened?,10,M,Jessica,Andrew,C,0.02,6900,31
5,7,control,control2,that thing happened,F,Mary visited her aunt on Sunday,NA,Did Mary's aunt get sick before or after a particular thing happened?,control2,NA,Margaret,NA,control,0.98,7217,31
6,8,hear,12,that thing happened,F,Frank has always wanted a pet,factH,Did Melissa hear that a particular thing happened?,12,F,Elizabeth,Kathleen,C,0.51,9755,31
7,9,announce,8,that thing happened,M,Emily never has any money,factL,Did Brian announce that a particular thing happened?,8,M,Richard,Raymond,C,0.16,14398,31
8,10,know,2,that thing happened,F,Josie loves France,factH,Does Scott know that a particular thing happened?,2,M,Susan,Ronald,NonProj,0.8,10395,31
9,11,say,3,that thing happened,F,Emma is in first grade,factL,Did Justin say that a particular thing happened?,3,M,Margaret,Benjamin,C,0.01,12859,31
10,12,establish,9,that thing happened,F,Grace loves her sister,factH,Did Andrew establish that a particular thing happened?,9,M,Michelle,Jeffrey,NonProj,0.05,6563,31
11,13,control,control3,that thing happened,F,Todd goes to the gym 3 times a week,NA,"Did Todd stop playing football in high school, despite the fact that a particular thing happened?",control3,NA,Carol,NA,control,0.92,8513,31
12,14,suggest,14,that thing happened,F,Jayden's car is in the shop,factH,Did Stephanie suggest that a particular thing happened?,14,F,Helen,Joyce,C,0.0,8316,31
13,15,think,20,that thing happened,M,Charley lives in Korea,factL,Does Anna think that a particular thing happened?,20,F,Paul,Ruth,NonProj,0.18,8987,31
14,16,control,control1,that thing happened,M,Zack is a member of the golf club,NA,"Is Zack coming to the meeting tomorrow, even though a particular thing happened last night?",control1,NA,Richard,NA,control,0.99,16628,31
15,17,annoyed,7,that thing happened,M,Isabella is a vegetarian,factL,Is Kevin annoyed that a particular thing happened?,7,M,Matthew,Patrick,NonProj,0.81,5871,31
16,18,control,control4,that thing happened,F,Vanessa won a prize at school,NA,"Did Vanessa improve at math, now that a particular thing happened?",control4,NA,Nancy,NA,control,0.83,6551,31
17,19,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Jessica,NA,control,0.88,9414,31
18,20,admit,16,that thing happened,M,Josh is a 5-year old boy,factH,Did Sharon admit that a particular thing happened?,16,F,Christopher,Julie,C,0.23,17824,31
19,21,confess,5,that thing happened,F,Sophia is a high end fashion model,factL,Did Ben confess that a particular thing happened?,5,M,Carol,Justin,C,0.1,13218,31
20,22,acknowledge,13,that thing happened,M,Jackson is obese,factL,Did Laura acknowledge that a particular thing happened?,13,F,Mark,Virginia,C,0.08,9025,31
21,23,reveal,15,that thing happened,M,Tony has been sober for 20 years,factL,Did Rebecca reveal that a particular thing happened?,15,F,James,Cynthia,NonProj,0.08,8097,31
22,24,control,control6,that thing happened,M,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,James,NA,control,0.88,7724,31
23,25,discover,1,that thing happened,F,Mary is a middle school student,factL,Did Patrick discover that a particular thing happened?,1,M,Nancy,Alexander,NonProj,0.63,11407,31
24,26,be_right_that,19,that thing happened,F,Jon lives 10 miles away from work,factL,Is Ruth right that a particular thing happened?,19,F,Kimberly,Rebecca,C,0.0,8183,31
25,27,demonstrate,11,that thing happened,M,Danny loves cake,factH,Did Amanda demonstrate that a particular thing happened?,11,F,Steven,Janet,C,0.06,9833,31
0,2,suggest,8,that thing happened,F,Emily has been saving for a year,factH,Did Brian suggest that a particular thing happened?,8,M,Betty,Justin,C,0.0,34253,32
1,3,hear,20,that thing happened,F,Charley lives in Mexico,factH,Did Anna hear that a particular thing happened?,20,F,Jennifer,Joyce,C,0.18,10182,32
2,4,admit,17,that thing happened,F,Owen lives in Chicago,factH,Did Cynthia admit that a particular thing happened?,17,F,Karen,Nicole,C,0.0,6458,32
3,5,control,control5,that thing happened,F,Trish sent Madison a card,NA,"Did Madison have a baby, despite the fact that a particular thing happened?",control5,NA,Carol,NA,control,0.29,6392,32
4,6,control,control6,that thing happened,F,Hendrick just bought a car,NA,"Did Hendrick's car get more expensive, now that a particular thing happened?",control6,NA,Kimberly,NA,control,0.12,5964,32
